觀測時間(hour),氣溫(℃),露點溫度(℃),相對溼度(%),AH(g/m³)
2015-01-26-05,16.9,14.3,85,12.196
2015-01-26-06,17.0,13.8,81,11.803
2015-01-26-07,16.9,14.0,83,11.961
2015-01-26-08,17.4,14.2,81,12.096
2015-01-26-09,18.2,14.1,77,11.985
2015-01-26-10,19.6,14.5,72,12.241
2015-01-26-11,21.8,15.8,69,13.208
2015-01-26-12,22.3,15.2,64,12.688
2015-01-26-13,22.9,15.8,64,13.159
2015-01-26-14,23.4,16.0,63,13.306
2015-01-26-15,23.9,16.3,62,13.54
2015-01-26-16,22.6,16.1,67,13.428
2015-01-26-17,21.4,16.2,72,13.569
2015-01-26-18,19.8,15.2,75,12.797
2015-01-26-19,18.7,15.0,79,12.681
2015-01-26-20,18.6,15.2,81,12.849
2015-01-26-21,18.8,15.2,80,12.84
2015-01-26-22,18.7,15.3,81,12.928
2015-01-26-23,18.7,15.3,81,12.928
2015-01-26-24,18.4,15.2,82,12.858
2015-01-27-01,18.3,15.0,81,12.698
2015-01-27-02,18.0,15.2,84,12.876
2015-01-27-03,17.8,15.6,87,13.22
2015-01-27-04,17.6,16.3,92,13.834
2015-01-27-05,17.5,16.0,91,13.576
2015-01-27-06,17.7,16.1,90,13.654
2015-01-27-07,17.9,16.0,89,13.558
2015-01-27-08,18.2,16.4,89,13.893
2015-01-27-09,18.9,16.5,86,13.949
2015-01-27-10,19.1,16.9,87,14.298
2015-01-27-11,20.3,17.2,82,14.512
2015-01-27-12,21.7,17.6,78,14.813
2015-01-27-13,22.8,17.6,72,14.758
2015-01-27-14,22.5,17.4,73,14.588
2015-01-27-15,22.1,17.1,73,14.333
2015-01-27-16,21.7,16.9,74,14.172
2015-01-27-17,20.7,16.2,75,13.601
2015-01-27-18,19.7,16.0,79,13.474
2015-01-27-19,19.2,16.2,83,13.671
2015-01-27-20,19.1,16.0,82,13.502
2015-01-27-21,18.5,15.6,83,13.188
2015-01-27-22,18.1,15.2,83,12.871
2015-01-27-23,17.9,15.0,83,12.716
2015-01-27-24,17.3,14.4,83,12.258
2015-01-28-01,17.0,14.0,82,11.957
2015-01-28-02,16.7,13.6,82,11.662
2015-01-28-03,16.6,13.3,81,11.44
2015-01-28-04,16.5,13.1,80,11.296
2015-01-28-05,16.2,12.8,80,11.088
2015-01-28-06,16.3,12.6,79,10.94
2015-01-28-07,16.3,12.6,79,10.94
2015-01-28-08,16.5,12.6,78,10.932
2015-01-28-09,17.0,13.0,77,11.203
2015-01-28-10,18.1,13.5,74,11.531
2015-01-28-11,19.2,13.9,71,11.79
2015-01-28-12,20.2,14.1,68,11.903
2015-01-28-13,21.4,14.8,66,12.404
2015-01-28-14,22.7,15.1,62,12.59
2015-01-28-15,22.1,14.9,64,12.454
2015-01-28-16,21.6,14.6,64,12.236
2015-01-28-17,20.2,14.2,68,11.981
2015-01-28-18,19.1,13.7,71,11.642
2015-01-28-19,18.4,13.6,74,11.594
2015-01-28-20,18.1,13.7,75,11.682
2015-01-28-21,17.8,13.6,76,11.618
2015-01-28-22,17.5,13.4,77,11.479
2015-01-28-23,17.2,13.2,77,11.342
2015-01-28-24,17.0,13.2,78,11.35
2015-01-29-01,16.5,13.0,80,11.222
2015-01-29-02,16.4,13.0,80,11.226
2015-01-29-03,16.3,12.9,80,11.157
2015-01-29-04,16.2,12.9,81,11.161
2015-01-29-05,16.1,12.9,81,11.164
2015-01-29-06,16.1,12.8,81,11.092
2015-01-29-07,16.3,12.8,80,11.084
2015-01-29-08,16.5,13.0,80,11.222
2015-01-29-09,17.8,13.7,77,11.694
2015-01-29-10,19.2,13.9,71,11.79
2015-01-29-11,21.4,15.1,67,12.646
2015-01-29-12,22.4,15.5,65,12.931
2015-01-29-13,23.8,15.9,61,13.204
2015-01-29-14,24.2,16.9,64,14.053
2015-01-29-15,22.7,16.1,66,13.423
2015-01-29-16,21.2,15.6,70,13.067
2015-01-29-17,19.6,14.8,74,12.48
2015-01-29-18,18.5,14.6,78,12.366
2015-01-29-19,17.8,14.2,79,12.08
2015-01-29-20,17.2,14.1,82,12.026
2015-01-29-21,17.1,14.3,84,12.187
2015-01-29-22,16.9,14.5,86,12.355
2015-01-29-23,16.8,14.4,86,12.279
2015-01-29-24,16.6,14.4,87,12.288
2015-01-30-01,16.6,14.5,87,12.367
2015-01-30-02,16.6,14.6,88,12.447
2015-01-30-03,16.5,14.6,89,12.452
2015-01-30-04,16.9,14.8,87,12.596
2015-01-30-05,17.0,14.9,87,12.673
2015-01-30-06,17.1,14.9,87,12.669
2015-01-30-07,17.2,14.8,86,12.583
2015-01-30-08,17.3,14.6,84,12.417
2015-01-30-09,17.3,14.3,83,12.179
2015-01-30-10,18.2,14.5,79,12.299
2015-01-30-11,18.5,14.6,78,12.366
2015-01-30-12,19.7,15.0,74,12.637
2015-01-30-13,20.3,14.7,70,12.37
2015-01-30-14,21.2,14.9,67,12.492
2015-01-30-15,21.5,14.6,65,12.24
2015-01-30-16,21.4,14.6,65,12.245
2015-01-30-17,20.9,14.3,66,12.03
2015-01-30-18,18.1,13.7,75,11.682
2015-01-30-19,16.5,12.6,78,10.932
2015-01-30-20,15.7,12.2,80,10.678
2015-01-30-21,15.1,11.7,80,10.353
2015-01-30-22,14.6,11.4,81,10.167
2015-01-30-23,14.3,11.2,82,10.044
2015-01-30-24,14.1,11.1,82,9.984
2015-01-31-01,14.2,11.0,81,9.915
2015-01-31-02,14.2,11.1,82,9.981
2015-01-31-03,13.8,10.7,82,9.732
2015-01-31-04,13.7,10.6,82,9.671
2015-01-31-05,13.6,10.4,81,9.546
2015-01-31-06,13.4,10.3,81,9.489
2015-01-31-07,13.5,10.5,82,9.614
2015-01-31-08,14.1,10.9,81,9.853
2015-01-31-09,14.9,11.3,79,10.09
2015-01-31-10,16.7,11.6,72,10.228
2015-01-31-11,18.5,12.4,68,10.715
2015-01-31-12,20.0,13.2,65,11.234
2015-01-31-13,21.3,13.6,61,11.48
2015-01-31-14,21.3,13.7,62,11.555
2015-01-31-15,21.2,13.6,62,11.484
2015-01-31-16,20.1,13.1,64,11.157
2015-01-31-17,18.2,12.5,69,10.797
2015-01-31-18,17.2,12.1,72,10.553
2015-01-31-19,16.3,11.8,75,10.378
2015-01-31-20,15.5,11.5,77,10.203
2015-01-31-21,15.3,11.5,78,10.21
2015-01-31-22,15.3,11.4,78,10.143
2015-01-31-23,15.2,11.3,78,10.079
2015-01-31-24,15.2,11.2,77,10.012
2015-02-01-01,15.0,11.0,77,9.887
2015-02-01-02,14.6,10.7,77,9.705
2015-02-01-03,14.3,10.7,79,9.715
2015-02-01-04,14.1,10.5,79,9.593
2015-02-01-05,13.8,10.4,80,9.54
2015-02-01-06,13.5,10.4,82,9.55
2015-02-01-07,13.7,10.6,82,9.671
2015-02-01-08,14.6,11.2,80,10.033
2015-02-01-09,16.0,11.6,75,10.253
2015-02-01-10,17.9,12.4,70,10.737
2015-02-01-11,19.9,13.0,64,11.092
2015-02-01-12,21.2,13.5,61,11.409
2015-02-01-13,21.3,14.0,63,11.782
2015-02-01-14,22.0,14.1,61,11.831
2015-02-01-15,21.1,14.1,64,11.867
2015-02-01-16,19.9,13.9,68,11.762
2015-02-01-17,19.2,13.6,70,11.562
2015-02-01-18,18.0,13.2,74,11.311
2015-02-01-19,17.2,12.9,76,11.122
2015-02-01-20,16.9,12.9,77,11.134
2015-02-01-21,16.4,13.0,80,11.226
2015-02-01-22,16.4,13.1,81,11.3
2015-02-01-23,16.1,13.0,82,11.238
2015-02-01-24,15.9,12.9,82,11.172
2015-02-02-01,15.9,12.8,82,11.099
2015-02-02-02,15.9,12.7,81,11.027
2015-02-02-03,16.1,12.7,80,11.019
2015-02-02-04,16.3,12.7,79,11.011
2015-02-02-05,15.9,12.6,81,10.955
2015-02-02-06,15.4,12.2,81,10.689
2015-02-02-07,15.5,12.2,81,10.685
2015-02-02-08,16.3,13.0,81,11.23
2015-02-02-09,18.0,13.2,74,11.311
2015-02-02-10,20.0,13.8,67,11.682
2015-02-02-11,21.2,14.3,65,12.018
2015-02-02-12,21.9,14.7,64,12.303
2015-02-02-13,21.5,14.5,64,12.162
2015-02-02-14,21.2,14.7,66,12.332
2015-02-02-15,20.8,14.8,69,12.429
2015-02-02-16,19.5,14.2,71,12.009
2015-02-02-17,19.0,14.0,73,11.875
2015-02-02-18,18.2,14.3,78,12.141
2015-02-02-19,17.5,14.0,80,11.936
2015-02-02-20,16.9,13.6,81,11.654
2015-02-02-21,16.8,13.8,82,11.811
2015-02-02-22,16.2,13.6,85,11.682
2015-02-02-23,16.2,13.8,86,11.835
2015-02-02-24,16.4,14.0,86,11.982
2015-02-03-01,16.1,14.1,88,12.072
2015-02-03-02,16.1,14.1,88,12.072
2015-02-03-03,15.9,14.1,89,12.08
2015-02-03-04,16.0,14.2,89,12.155
2015-02-03-05,15.8,14.2,90,12.163
2015-02-03-06,15.8,14.1,90,12.085
2015-02-03-07,15.6,14.3,92,12.251
2015-02-03-08,16.2,14.9,92,12.708
2015-02-03-09,17.3,14.9,86,12.66
2015-02-03-10,18.9,15.0,78,12.672
2015-02-03-11,20.1,14.8,72,12.459
2015-02-03-12,21.2,15.2,69,12.736
2015-02-03-13,21.2,15.0,68,12.573
2015-02-03-14,21.3,15.2,68,12.731
2015-02-03-15,21.3,14.9,67,12.488
2015-02-03-16,20.6,14.6,68,12.278
2015-02-03-17,20.0,14.4,70,12.145
2015-02-03-18,18.4,14.0,76,11.899
2015-02-03-19,17.6,13.9,79,11.855
2015-02-03-20,17.4,13.9,80,11.863
2015-02-03-21,17.1,13.8,81,11.798
2015-02-03-22,16.8,13.8,82,11.811
2015-02-03-23,16.7,13.9,84,11.892
2015-02-03-24,17.1,14.1,83,12.03
2015-02-04-01,16.8,13.9,83,11.888
2015-02-04-02,16.9,14.0,83,11.961
2015-02-04-03,16.6,14.2,86,12.13
2015-02-04-04,16.6,14.1,85,12.051
2015-02-04-05,16.2,14.0,87,11.99
2015-02-04-06,15.9,13.5,86,11.618
2015-02-04-07,15.7,13.1,85,11.327
2015-02-04-08,16.0,13.2,83,11.389
2015-02-04-09,16.7,13.6,82,11.662
2015-02-04-10,18.8,14.5,76,12.274
2015-02-04-11,19.7,14.6,72,12.316
2015-02-04-12,20.7,14.4,67,12.116
2015-02-04-13,21.6,14.5,64,12.158
2015-02-04-14,21.2,14.4,65,12.096
2015-02-04-15,20.8,14.0,65,11.802
2015-02-04-16,20.3,13.6,65,11.519
2015-02-04-17,19.0,12.9,68,11.054
2015-02-04-18,16.9,12.1,73,10.564
2015-02-04-19,15.8,11.4,75,10.125
2015-02-04-20,15.3,11.1,76,9.943
2015-02-04-21,14.7,10.7,77,9.702
2015-02-04-22,14.2,10.6,79,9.654
2015-02-04-23,13.9,10.6,80,9.664
2015-02-04-24,13.3,10.4,83,9.556
2015-02-05-01,13.7,10.7,82,9.736
2015-02-05-02,13.5,10.8,84,9.808
2015-02-05-03,13.4,10.5,83,9.617
2015-02-05-04,13.6,10.4,81,9.546
2015-02-05-05,13.5,9.8,78,9.174
2015-02-05-06,13.2,9.1,76,8.761
2015-02-05-07,12.8,8.4,75,8.367
2015-02-05-08,13.0,8.5,74,8.418
2015-02-05-09,13.9,8.9,72,8.622
2015-02-05-10,15.4,10.0,70,9.236
2015-02-05-11,17.0,10.6,66,9.561
2015-02-05-12,17.5,10.7,64,9.609
2015-02-05-13,18.8,11.2,61,9.889
2015-02-05-14,17.4,10.0,62,9.173
2015-02-05-15,16.9,9.3,61,8.767
2015-02-05-16,15.8,8.0,60,8.058
2015-02-05-17,15.4,7.2,58,7.641
2015-02-05-18,14.4,6.8,60,7.459
2015-02-05-19,13.6,6.5,62,7.327
2015-02-05-20,13.0,6.4,64,7.292
2015-02-05-21,12.8,6.5,65,7.348
2015-02-05-22,12.6,6.5,66,7.353
2015-02-05-23,12.4,6.5,67,7.358
2015-02-05-24,12.5,6.6,67,7.407
2015-02-06-01,12.4,6.6,68,7.409
2015-02-06-02,12.3,6.6,68,7.412
2015-02-06-03,12.3,6.3,67,7.26
2015-02-06-04,12.2,6.3,67,7.263
2015-02-06-05,12.2,6.5,68,7.363
2015-02-06-06,12.2,6.5,68,7.363
2015-02-06-07,12.1,6.4,68,7.315
2015-02-06-08,12.5,6.6,67,7.407
2015-02-06-09,13.2,7.0,66,7.594
2015-02-06-10,14.0,7.5,65,7.837
2015-02-06-11,14.2,7.6,64,7.885
2015-02-06-12,15.1,8.1,63,8.133
2015-02-06-13,17.0,9.0,59,8.588
2015-02-06-14,17.6,9.1,57,8.628
2015-02-06-15,18.1,10.2,60,9.274
2015-02-06-16,18.1,10.3,60,9.336
2015-02-06-17,17.6,10.2,62,9.29
2015-02-06-18,16.4,10.7,69,9.645
2015-02-06-19,15.6,9.9,69,9.168
2015-02-06-20,14.9,9.9,72,9.191
2015-02-06-21,14.5,10.0,74,9.265
2015-02-06-22,13.6,10.0,79,9.294
2015-02-06-23,13.6,10.0,79,9.294
2015-02-06-24,13.5,9.9,79,9.235
2015-02-07-01,13.3,9.9,80,9.242
2015-02-07-02,13.1,9.7,80,9.125
2015-02-07-03,13.0,9.6,80,9.067
2015-02-07-04,12.6,9.4,81,8.959
2015-02-07-05,12.5,9.5,82,9.022
2015-02-07-06,12.7,9.5,81,9.016
2015-02-07-07,12.9,9.6,80,9.07
2015-02-07-08,13.7,10.2,79,9.416
2015-02-07-09,15.4,10.7,74,9.678
2015-02-07-10,17.0,11.1,68,9.885
2015-02-07-11,19.1,11.6,62,10.144
2015-02-07-12,20.1,11.7,58,10.177
2015-02-07-13,21.3,12.4,57,10.613
2015-02-07-14,23.2,12.4,51,10.545
2015-02-07-15,20.3,14.1,68,11.899
2015-02-07-16,19.1,13.8,71,11.718
2015-02-07-17,17.4,12.8,74,11.042
2015-02-07-18,17.2,13.0,76,11.195
2015-02-07-19,16.2,13.0,81,11.234
2015-02-07-20,16.3,13.0,81,11.23
2015-02-07-21,16.1,13.0,82,11.238
2015-02-07-22,15.7,12.8,83,11.107
2015-02-07-23,15.4,12.9,85,11.191
2015-02-07-24,15.4,13.0,86,11.265
2015-02-08-01,15.2,13.0,87,11.273
2015-02-08-02,15.3,13.1,87,11.343
2015-02-08-03,15.6,13.6,88,11.707
2015-02-08-04,15.7,13.7,88,11.779
2015-02-08-05,16.0,13.5,85,11.614
2015-02-08-06,15.3,12.7,84,11.05
2015-02-08-07,15.0,11.5,80,10.221
2015-02-08-08,15.0,11.4,79,10.153
2015-02-08-09,15.6,11.5,77,10.199
2015-02-08-10,16.2,11.3,73,10.044
2015-02-08-11,17.4,11.0,66,9.806
2015-02-08-12,18.1,10.8,62,9.653
2015-02-08-13,18.8,10.6,59,9.502
2015-02-08-14,19.3,10.0,55,9.113
2015-02-08-15,19.5,9.3,52,8.689
2015-02-08-16,18.3,8.4,52,8.209
2015-02-08-17,17.1,8.0,55,8.022
2015-02-08-18,16.3,7.6,56,7.828
2015-02-08-19,15.5,6.8,56,7.431
2015-02-08-20,15.0,6.8,58,7.444
2015-02-08-21,14.8,7.2,60,7.656
2015-02-08-22,14.0,7.6,65,7.891
2015-02-08-23,13.7,7.4,66,7.792
2015-02-08-24,13.2,6.9,66,7.542
2015-02-09-01,12.8,6.1,64,7.148
2015-02-09-02,12.3,5.2,62,6.727
2015-02-09-03,12.5,5.0,60,6.629
2015-02-09-04,12.0,4.7,61,6.503
2015-02-09-05,11.9,4.5,60,6.415
2015-02-09-06,11.7,4.2,60,6.286
2015-02-09-07,11.6,4.1,60,6.244
2015-02-09-08,11.8,4.5,61,6.417
2015-02-09-09,13.0,5.5,60,6.852
2015-02-09-10,14.1,6.1,59,7.116
2015-02-09-11,15.1,6.7,57,7.39
2015-02-09-12,15.2,6.7,57,7.388
2015-02-09-13,15.9,7.0,55,7.523
2015-02-09-14,15.9,7.1,56,7.575
2015-02-09-15,16.3,7.7,57,7.882
2015-02-09-16,16.6,7.6,55,7.82
2015-02-09-17,16.0,8.1,59,8.108
2015-02-09-18,14.4,7.7,64,7.934
2015-02-09-19,13.1,7.5,69,7.862
2015-02-09-20,12.6,7.6,72,7.929
2015-02-09-21,12.1,7.2,72,7.729
2015-02-09-22,11.9,6.8,71,7.525
2015-02-09-23,11.4,6.6,72,7.435
2015-02-09-24,11.3,6.5,72,7.387
2015-02-10-01,11.5,6.4,71,7.331
2015-02-10-02,11.4,6.5,72,7.384
2015-02-10-03,11.1,6.6,74,7.443
2015-02-10-04,10.8,6.6,75,7.451
2015-02-10-05,11.0,6.9,76,7.601
2015-02-10-06,10.7,6.9,77,7.609
2015-02-10-07,10.5,7.1,79,7.719
2015-02-10-08,11.7,7.9,77,8.119
2015-02-10-09,13.3,8.0,70,8.129
2015-02-10-10,15.5,8.8,64,8.517
2015-02-10-11,17.7,9.9,60,9.102
2015-02-10-12,19.6,10.3,55,9.288
2015-02-10-13,19.9,10.0,53,9.095
2015-02-10-14,19.5,10.1,55,9.168
2015-02-10-15,19.4,10.8,57,9.61
2015-02-10-16,19.4,10.8,57,9.61
2015-02-10-17,18.0,11.1,64,9.851
2015-02-10-18,16.5,10.3,67,9.388
2015-02-10-19,15.4,9.7,69,9.052
2015-02-10-20,14.7,9.8,72,9.135
2015-02-10-21,14.5,9.8,73,9.142
2015-02-10-22,14.3,9.9,75,9.21
2015-02-10-23,14.0,9.8,76,9.158
2015-02-10-24,13.7,9.7,77,9.106
2015-02-11-01,13.5,9.5,77,8.991
2015-02-11-02,12.9,9.2,78,8.829
2015-02-11-03,12.9,9.0,77,8.711
2015-02-11-04,13.0,9.2,78,8.826
2015-02-11-05,12.7,9.1,79,8.776
2015-02-11-06,12.7,9.0,78,8.717
2015-02-11-07,13.0,9.5,79,9.006
2015-02-11-08,14.0,10.3,78,9.47
2015-02-11-09,16.5,11.2,71,9.968
2015-02-11-10,18.3,11.7,65,10.239
2015-02-11-11,20.1,12.1,60,10.449
2015-02-11-12,20.4,12.2,59,10.507
2015-02-11-13,20.8,12.3,58,10.562
2015-02-11-14,21.2,12.8,59,10.899
2015-02-11-15,20.1,12.8,63,10.94
2015-02-11-16,19.3,12.5,65,10.756
2015-02-11-17,18.6,12.3,67,10.642
2015-02-11-18,17.3,11.8,70,10.343
2015-02-11-19,16.1,11.6,75,10.249
2015-02-11-20,15.6,12.0,79,10.542
2015-02-11-21,15.3,11.1,76,9.943
2015-02-11-22,15.1,10.8,75,9.753
2015-02-11-23,14.8,11.3,80,10.093
2015-02-11-24,15.3,11.4,78,10.143
2015-02-12-01,14.8,11.4,80,10.16
2015-02-12-02,14.9,11.3,79,10.09
2015-02-12-03,14.4,11.4,82,10.174
2015-02-12-04,14.5,11.9,84,10.513
2015-02-12-05,14.4,12.2,87,10.726
2015-02-12-06,14.3,12.3,88,10.801
2015-02-12-07,14.1,12.3,89,10.808
2015-02-12-08,15.1,10.6,74,9.624
2015-02-12-09,17.1,9.3,60,8.76
2015-02-12-10,18.6,7.6,49,7.766
2015-02-12-11,20.0,7.1,43,7.469
2015-02-12-12,21.2,7.0,40,7.388
2015-02-12-13,21.7,9.0,44,8.451
2015-02-12-14,22.8,8.9,41,8.363
2015-02-12-15,22.7,9.0,42,8.423
2015-02-12-16,21.9,7.8,40,7.785
2015-02-12-17,21.0,5.9,37,6.853
2015-02-12-18,19.6,5.6,40,6.744
2015-02-12-19,17.8,6.0,46,6.977
2015-02-12-20,16.6,6.7,52,7.352
2015-02-12-21,16.2,7.0,54,7.516
2015-02-12-22,15.5,7.1,57,7.586
2015-02-12-23,15.0,7.1,59,7.599
2015-02-12-24,14.6,6.4,58,7.252
2015-02-13-01,14.5,6.8,60,7.457
2015-02-13-02,14.1,7.1,63,7.623
2015-02-13-03,13.9,7.2,64,7.68
2015-02-13-04,13.9,7.5,65,7.84
2015-02-13-05,14.2,7.8,65,7.994
2015-02-13-06,14.6,7.4,62,7.767
2015-02-13-07,14.3,7.7,64,7.937
2015-02-13-08,15.7,9.9,68,9.165
2015-02-13-09,18.6,11.4,63,10.028
2015-02-13-10,21.2,12.5,58,10.687
2015-02-13-11,21.8,13.0,57,11.02
2015-02-13-12,21.4,13.5,61,11.402
2015-02-13-13,21.5,12.2,55,10.468
2015-02-13-14,22.1,11.2,50,9.778
2015-02-13-15,21.7,12.6,56,10.739
2015-02-13-16,21.3,12.3,56,10.544
2015-02-13-17,20.2,11.8,58,10.24
2015-02-13-18,19.3,11.0,59,9.742
2015-02-13-19,19.1,9.4,53,8.759
2015-02-13-20,19.0,9.4,54,8.762
2015-02-13-21,18.2,10.8,62,9.649
2015-02-13-22,17.5,11.6,68,10.2
2015-02-13-23,17.0,11.9,72,10.422
2015-02-13-24,16.8,12.0,73,10.498
2015-02-14-01,16.5,12.1,75,10.578
2015-02-14-02,16.4,11.8,74,10.375
2015-02-14-03,16.7,10.9,69,9.764
2015-02-14-04,16.2,10.3,68,9.398
2015-02-14-05,15.5,10.8,74,9.74
2015-02-14-06,15.5,11.1,75,9.936
2015-02-14-07,16.1,10.5,69,9.527
2015-02-14-08,17.6,11.1,66,9.864
2015-02-14-09,19.7,11.8,60,10.258
2015-02-14-10,22.0,12.3,54,10.519
2015-02-14-11,23.4,11.4,47,9.866
2015-02-14-12,23.6,10.7,44,9.411
2015-02-14-13,22.9,10.3,45,9.185
2015-02-14-14,23.5,11.0,45,9.604
2015-02-14-15,23.6,11.4,46,9.859
2015-02-14-16,22.9,11.2,48,9.752
2015-02-14-17,21.2,13.2,60,11.188
2015-02-14-18,20.4,12.6,61,10.787
2015-02-14-19,20.3,11.1,55,9.773
2015-02-14-20,20.4,9.4,49,8.721
2015-02-14-21,20.4,8.8,47,8.375
2015-02-14-22,20.5,6.8,41,7.305
2015-02-14-23,20.5,6.3,40,7.057
2015-02-14-24,20.1,6.6,41,7.215
2015-02-15-01,19.7,7.3,45,7.58
2015-02-15-02,19.5,7.3,45,7.585
2015-02-15-03,19.3,7.7,47,7.801
2015-02-15-04,18.8,7.9,49,7.921
2015-02-15-05,18.3,8.6,53,8.321
2015-02-15-06,18.0,9.4,57,8.792
2015-02-15-07,18.4,10.5,60,9.452
2015-02-15-08,18.8,11.8,64,10.29
2015-02-15-09,20.5,11.8,57,10.23
2015-02-15-10,22.6,12.6,53,10.706
2015-02-15-11,25.3,13.3,47,11.107
2015-02-15-12,24.9,13.0,48,10.906
2015-02-15-13,25.3,12.9,46,10.82
2015-02-15-14,25.6,13.2,46,11.023
2015-02-15-15,25.8,13.8,47,11.455
2015-02-15-16,24.8,13.1,48,10.981
2015-02-15-17,24.7,13.0,48,10.913
2015-02-15-18,24.1,12.8,49,10.793
2015-02-15-19,23.2,13.7,55,11.481
2015-02-15-20,22.7,14.7,61,12.27
2015-02-15-21,22.2,13.8,59,11.595
2015-02-15-22,21.9,14.4,62,12.067
2015-02-15-23,21.3,13.6,61,11.48
2015-02-15-24,20.0,11.9,60,10.315
2015-02-16-01,20.0,12.8,63,10.944
2015-02-16-02,19.5,13.2,67,11.253
2015-02-16-03,19.0,12.4,66,10.697
2015-02-16-04,18.1,13.8,76,11.758
2015-02-16-05,17.5,15.1,86,12.815
2015-02-16-06,17.5,16.0,91,13.576
2015-02-16-07,17.7,16.6,93,14.096
2015-02-16-08,18.8,17.7,93,15.055
2015-02-16-09,21.0,18.9,88,16.11
2015-02-16-10,23.4,19.6,79,16.692
2015-02-16-11,25.0,19.7,72,16.706
2015-02-16-12,25.1,19.9,73,16.909
2015-02-16-13,25.5,19.6,70,16.575
2015-02-16-14,24.9,19.5,72,16.505
2015-02-16-15,24.5,19.2,72,16.222
2015-02-16-16,23.8,18.4,72,15.467
2015-02-16-17,23.6,17.9,70,14.999
2015-02-16-18,22.7,17.4,72,14.578
2015-02-16-19,21.5,16.8,75,14.092
2015-02-16-20,20.9,16.8,77,14.12
2015-02-16-21,20.6,16.1,75,13.519
2015-02-16-22,20.0,15.9,77,13.375
2015-02-16-23,19.7,16.0,79,13.474
2015-02-16-24,19.8,16.2,80,13.643
2015-02-17-01,19.6,16.2,81,13.652
2015-02-17-02,19.0,16.0,83,13.506
2015-02-17-03,19.1,16.3,84,13.763
2015-02-17-04,19.0,16.2,84,13.68
2015-02-17-05,19.1,16.5,85,13.939
2015-02-17-06,18.3,16.1,87,13.626
2015-02-17-07,17.9,16.3,90,13.819
2015-02-17-08,18.1,16.7,92,14.166
2015-02-17-09,18.6,17.1,91,14.505
2015-02-17-10,21.1,18.3,84,15.512
2015-02-17-11,21.9,18.3,80,15.469
2015-02-17-12,21.5,17.8,79,15.011
2015-02-17-13,23.0,18.0,73,15.124
2015-02-17-14,24.7,18.6,69,15.615
2015-02-17-15,24.7,18.1,67,15.133
2015-02-17-16,25.4,18.2,64,15.192
2015-02-17-17,24.1,18.2,70,15.259
2015-02-17-18,22.6,16.6,69,13.862
2015-02-17-19,21.0,16.0,73,13.415
2015-02-17-20,20.0,15.8,77,13.289
2015-02-17-21,19.6,15.9,79,13.393
2015-02-17-22,19.2,15.6,80,13.156
2015-02-17-23,18.8,15.4,81,13.006
2015-02-17-24,18.5,15.1,81,12.771
2015-02-18-01,18.3,15.0,81,12.698
2015-02-18-02,18.2,14.7,80,12.459
2015-02-18-03,17.7,14.5,82,12.321
2015-02-18-04,17.6,14.6,83,12.405
2015-02-18-05,17.2,14.5,84,12.342
2015-02-18-06,16.9,14.2,84,12.117
2015-02-18-07,16.7,14.2,85,12.125
2015-02-18-08,17.5,14.4,82,12.25
2015-02-18-09,19.2,15.2,78,12.823
2015-02-18-10,21.2,16.1,73,13.491
2015-02-18-11,22.9,16.9,69,14.114
2015-02-18-12,24.0,17.2,66,14.332
2015-02-18-13,24.8,17.4,63,14.475
2015-02-18-14,24.6,17.0,63,14.123
2015-02-18-15,24.9,17.0,62,14.109
2015-02-18-16,24.5,16.5,61,13.686
2015-02-18-17,22.8,16.1,66,13.418
2015-02-18-18,21.8,15.4,67,12.874
2015-02-18-19,20.5,15.0,71,12.603
2015-02-18-20,19.2,14.7,75,12.417
2015-02-18-21,18.7,14.6,77,12.358
2015-02-18-22,18.3,14.2,77,12.059
2015-02-18-23,18.2,14.0,76,11.908
2015-02-18-24,17.8,13.8,77,11.77
2015-02-19-01,17.4,13.6,78,11.634
2015-02-19-02,17.3,13.5,78,11.562
2015-02-19-03,16.9,13.3,79,11.428
2015-02-19-04,16.7,13.0,79,11.214
2015-02-19-05,16.1,12.4,79,10.804
2015-02-19-06,16.2,12.5,79,10.872
2015-02-19-07,16.0,12.2,78,10.667
2015-02-19-08,16.8,12.8,77,11.065
2015-02-19-09,18.6,14.1,75,11.969
2015-02-19-10,20.1,14.8,72,12.459
2015-02-19-11,22.3,15.3,65,12.77
2015-02-19-12,23.9,15.5,59,12.865
2015-02-19-13,23.1,15.6,63,12.983
2015-02-19-14,23.6,15.4,60,12.796
2015-02-19-15,23.9,15.4,59,12.783
2015-02-19-16,23.0,15.0,61,12.497
2015-02-19-17,22.0,15.1,65,12.62
2015-02-19-18,21.0,14.8,68,12.42
2015-02-19-19,19.9,14.8,72,12.467
2015-02-19-20,19.5,14.2,71,12.009
2015-02-19-21,19.0,14.1,73,11.952
2015-02-19-22,18.4,14.0,76,11.899
2015-02-19-23,18.2,14.2,77,12.063
2015-02-19-24,18.4,14.1,76,11.977
2015-02-20-01,18.1,13.9,76,11.835
2015-02-20-02,17.9,13.9,77,11.843
2015-02-20-03,18.0,14.0,77,11.916
2015-02-20-04,17.7,14.0,79,11.928
2015-02-20-05,17.7,13.9,78,11.851
2015-02-20-06,17.4,13.9,80,11.863
2015-02-20-07,17.6,14.1,80,12.01
2015-02-20-08,18.3,14.9,81,12.617
2015-02-20-09,19.5,15.2,76,12.81
2015-02-20-10,20.7,15.6,73,13.089
